msa_md,msa_md_name,state
99999,Jasper,AL
24780,Greenville,NC
99999,Columbus,NE
99999,Salina,KS
30340,Lewiston-Auburn,ME
99999,Rolla,MO
99999,Brenham,TX
29404,Lake County-Kenosha County,IL-WI
24420,Grants Pass,OR
99999,Jamestown-Dunkirk-Fredonia,NY
99999,Hood River,OR
99999,Palatka,FL
99999,Athens,TN
99999,Opelousas,LA
99999,Picayune,MS
99999,Athens,OH
99999,Sedalia,MO
11640,Arecibo,PR
99999,Andrews,TX
37964,Philadelphia,PA
99999,Kinston,NC
16300,Cedar Rapids,IA
27100,Jackson,MI
19740,Denver-Aurora-Lakewood,CO
99999,Brainerd,MN
38940,Port St. Lucie,FL
46700,Vallejo,CA
99999,Clarksdale,MS
99999,Poplar Bluff,MO
99999,Minden,LA
99999,Ada,OK
37460,Panama City,FL
99999,Jasper,IN
99999,Bradford,PA
99999,Vincennes,IN
99999,Parsons,KS
99999,Tupelo,MS
20740,Eau Claire,WI
99999,Red Wing,MN
31420,Macon-Bibb County,GA
99999,Emporia,KS
44180,Springfield,MO
99999,Hereford,TX
99999,Greenwood,SC
23460,Gadsden,AL
99999,Port Lavaca,TX
99999,Point Pleasant,WV-OH
99999,Galesburg,IL
99999,Cordele,GA
99999,Macomb,IL
99999,Orangeburg,SC
99999,Sault Ste. Marie,MI
99999,Hope,AR
14100,Bloomsburg-Berwick,PA
13740,Billings,MT
99999,Searcy,AR
35840,North Port-Sarasota-Bradenton,FL
31740,Manhattan,KS
99999,Kapaa,HI
99999,Effingham,IL
99999,Hutchinson,MN
31460,Madera,CA
99999,Lufkin,TX
49700,Yuba City,CA
99999,Alexander City,AL
99999,Storm Lake,IA
99999,Danville,KY
34940,Naples-Marco Island,FL
99999,North Platte,NE
99999,Torrington,CT
99999,Carroll,IA
99999,Craig,CO
21820,Fairbanks,AK
25540,Hartford-East Hartford-Middletown,CT
99999,Laramie,WY
48900,Wilmington,NC
99999,Greenwood,MS
26300,Hot Springs,AR
99999,Adrian,MI
10900,Allentown-Bethlehem-Easton,PA-NJ
99999,Wahpeton,ND-MN
99999,Natchez,MS-LA
99999,Corning,NY
99999,Hilo,HI
22420,Flint,MI
99999,Elizabeth City,NC
99999,Mount Airy,NC
46520,Urban Honolulu,HI
42680,Sebastian-Vero Beach,FL
15680,California-Lexington Park,MD
18020,Columbus,IN
99999,Bardstown,KY
99999,Rockport,TX
29340,Lake Charles,LA
26580,Huntington-Ashland,WV-KY-OH
99999,Vernal,UT
23900,Gettysburg,PA
99999,Oskaloosa,IA
99999,Ludington,MI
49020,Winchester,VA-WV
38220,Pine Bluff,AR
99999,Borger,TX
38860,Portland-South Portland,ME
43420,Sierra Vista-Douglas,AZ
40340,Rochester,MN
99999,Cedartown,GA
32420,Mayagüez,PR
36220,Odessa,TX
21660,Eugene-Springfield,OR
99999,Pittsburg,KS
26900,Indianapolis-Carmel-Anderson,IN
99999,Mount Vernon,IL
99999,Ellensburg,WA
36100,Ocala,FL
99999,El Campo,TX
99999,Branson,MO
24260,Grand Island,NE
37340,Palm Bay-Melbourne-Titusville,FL
99999,Portales,NM
43300,Sherman-Denison,TX
31140,Louisville/Jefferson County,KY-IN
99999,Celina,OH
17660,Coeur d'Alene,ID
99999,Ruston,LA
99999,Lock Haven,PA
28420,Kennewick-Richland,WA
35084,Newark,NJ-PA
99999,Hobbs,NM
99999,Olean,NY
13220,Beckley,WV
99999,Bay City,TX
28740,Kingston,NY
44220,Springfield,OH
12020,Athens-Clarke County,GA
99999,Tahlequah,OK
19660,Deltona-Daytona Beach-Ormond Beach,FL
99999,Traverse City,MI
17460,Cleveland-Elyria,OH
15940,Canton-Massillon,OH
38900,Portland-Vancouver-Hillsboro,OR-WA
45940,Trenton-Princeton,NJ
29540,Lancaster,PA
99999,Winona,MN
99999,Rutland,VT
44300,State College,PA
14740,Bremerton-Silverdale-Port Orchard,WA
99999,Blytheville,AR
99999,Gardnerville Ranchos,NV
99999,LaGrange,GA-AL
99999,Ashtabula,OH
99999,Hillsdale,MI
99999,Norwalk,OH
38300,Pittsburgh,PA
20260,Duluth,MN-WI
99999,Frankfort,KY
31340,Lynchburg,VA
99999,Hannibal,MO
99999,Gillette,WY
17140,Cincinnati,OH-KY-IN
99999,Kill Devil Hills,NC
99999,Fort Polk South,LA
44420,Staunton,VA
35004,Nassau County-Suffolk County,NY
99999,Washington,IN
99999,Toccoa,GA
99999,Liberal,KS
99999,Jennings,LA
10180,Abilene,TX
49740,Yuma,AZ
29200,Lafayette-West Lafayette,IN
99999,Uvalde,TX
99999,Washington,NC
99999,Mount Pleasant,TX
27860,Jonesboro,AR
99999,Morehead City,NC
99999,Chillicothe,OH
99999,Rock Springs,WY
39820,Redding,CA
99999,Payson,AZ
99999,DeRidder,LA
99999,Maryville,MO
99999,Hastings,NE
99999,Moultrie,GA
99999,Ottawa,KS
99999,Marshall,MN
99999,Fort Leonard Wood,MO
40380,Rochester,NY
99999,Cortland,NY
99999,Sidney,OH
39100,Poughkeepsie-Newburgh-Middletown,NY
99999,Brownwood,TX
33700,Modesto,CA
25500,Harrisonburg,VA
99999,Elkins,WV
41740,San Diego-Chula Vista-Carlsbad,CA
27060,Ithaca,NY
99999,Crossville,TN
99999,Brookhaven,MS
15804,Camden,NJ
99999,Roseburg,OR
99999,Atmore,AL
99999,Cañon City,CO
24860,Greenville-Anderson,SC
47260,Virginia Beach-Norfolk-Newport News,VA-NC
99999,Martin,TN
99999,Clovis,NM
10420,Akron,OH
48660,Wichita Falls,TX
99999,Coshocton,OH
20100,Dover,DE
48620,Wichita,KS
99999,Defiance,OH
99999,Ukiah,CA
14860,Bridgeport-Stamford-Norwalk,CT
22900,Fort Smith,AR-OK
99999,Seymour,IN
99999,Mount Gay-Shamrock,WV
99999,Malone,NY
49340,Worcester,MA-CT
99999,Montrose,CO
99999,Edwards,CO
22500,Florence,SC
17420,Cleveland,TN
20700,East Stroudsburg,PA
12700,Barnstable Town,MA
99999,Newport,TN
27980,Kahului-Wailuku-Lahaina,HI
99999,West Plains,MO
99999,Keene,NH
99999,Danville,VA
14020,Bloomington,IN
99999,Natchitoches,LA
17900,Columbia,SC
99999,Santa Isabel,PR
99999,Ponca City,OK
99999,Moses Lake,WA
36740,Orlando-Kissimmee-Sanford,FL
99999,Cleveland,MS
99999,Plymouth,IN
19300,Daphne-Fairhope-Foley,AL
99999,Sayre,PA
99999,Boone,NC
99999,Del Rio,TX
99999,Rio Grande City-Roma,TX
99999,Malvern,AR
19500,Decatur,IL
16540,Chambersburg-Waynesboro,PA
99999,Seneca Falls,NY
99999,Decatur,IN
23844,Gary,IN
99999,Freeport,IL
99999,Ardmore,OK
99999,Bluefield,WV-VA
99999,Mount Pleasant,MI
33140,Michigan City-La Porte,IN
99999,Garden City,KS
99999,Pella,IA
99999,Jayuya,PR
99999,Batesville,AR
28140,Kansas City,MO-KS
99999,West Point,MS
99999,Martinsville,VA
35660,Niles,MI
22020,Fargo,ND-MN
99999,Rexburg,ID
99999,Klamath Falls,OR
99999,Sulphur Springs,TX
16580,Champaign-Urbana,IL
99999,Union,SC
22744,Fort Lauderdale-Pompano Beach-Sunrise,FL
99999,London,KY
16740,Charlotte-Concord-Gastonia,NC-SC
10380,Aguadilla-Isabela,PR
99999,Plattsburgh,NY
29020,Kokomo,IN
99999,Forest City,NC
99999,Clinton,IA
43780,South Bend-Mishawaka,IN-MI
25980,Hinesville,GA
22540,Fond du Lac,WI
99999,Washington Court House,OH
10580,Albany-Schenectady-Troy,NY
21500,Erie,PA
99999,Bartlesville,OK
99999,Burlington,IA-IL
36500,Olympia-Lacey-Tumwater,WA
99999,Mayfield,KY
42700,Sebring-Avon Park,FL
34740,Muskegon,MI
46660,Valdosta,GA
35980,Norwich-New London,CT
99999,Lamesa,TX
99999,Deming,NM
18880,Crestview-Fort Walton Beach-Destin,FL
35154,New Brunswick-Lakewood,NJ
40900,Sacramento-Roseville-Folsom,CA
45300,Tampa-St. Petersburg-Clearwater,FL
24020,Glens Falls,NY
99999,Aberdeen,SD
13980,Blacksburg-Christiansburg,VA
99999,Ottawa,IL
20940,El Centro,CA
24300,Grand Junction,CO
99999,Mexico,MO
99999,Helena-West Helena,AR
99999,Paris,TX
12980,Battle Creek,MI
45104,Tacoma-Lakewood,WA
99999,Manitowoc,WI
46140,Tulsa,OK
10780,Alexandria,LA
14010,Bloomington,IL
33340,Milwaukee-Waukesha,WI
24540,Greeley,CO
99999,Findlay,OH
99999,Blackfoot,ID
29100,La Crosse-Onalaska,WI-MN
25620,Hattiesburg,MS
99999,Magnolia,AR
99999,Fitzgerald,GA
42034,San Rafael,CA
99999,Marshalltown,IA
28660,Killeen-Temple,TX
19340,Davenport-Moline-Rock Island,IA-IL
15380,Buffalo-Cheektowaga,NY
99999,Watertown,SD
99999,Van Wert,OH
11700,Asheville,NC
38660,Ponce,PR
33460,Minneapolis-St. Paul-Bloomington,MN-WI
99999,Mount Sterling,KY
99999,Paris,TN
45220,Tallahassee,FL
45540,The Villages,FL
99999,Seneca,SC
99999,Plainview,TX
99999,Fallon,NV
44700,Stockton,CA
99999,North Wilkesboro,NC
29940,Lawrence,KS
11540,Appleton,WI
99999,Mount Vernon,OH
99999,Central City,KY
35100,New Bern,NC
39740,Reading,PA
99999,Sterling,CO
20500,Durham-Chapel Hill,NC
40660,Rome,GA
18700,Corvallis,OR
99999,Bennington,VT
99999,Portsmouth,OH
30700,Lincoln,NE
38540,Pocatello,ID
99999,Miami,OK
38340,Pittsfield,MA
99999,Augusta-Waterville,ME
17820,Colorado Springs,CO
99999,Ottumwa,IA
29460,Lakeland-Winter Haven,FL
99999,Fort Dodge,IA
99999,Coffeyville,KS
41884,San Francisco-San Mateo-Redwood City,CA
99999,Williston,ND
99999,Pinehurst-Southern Pines,NC
99999,Laurel,MS
99999,Pullman,WA
99999,Enterprise,AL
99999,Centralia,IL
16060,Carbondale-Marion,IL
99999,Wooster,OH
39660,Rapid City,SD
99999,Eagle Pass,TX
99999,Breckenridge,CO
29740,Las Cruces,NM
99999,Lake City,FL
99999,Hutchinson,KS
99999,Dayton,TN
33860,Montgomery,AL
99999,Mountain Home,AR
99999,Albert Lea,MN
37620,Parkersburg-Vienna,WV
99999,New Castle,IN
15540,Burlington-South Burlington,VT
30460,Lexington-Fayette,KY
99999,Astoria,OR
27260,Jacksonville,FL
99999,Beeville,TX
99999,Summerville,GA
25060,Gulfport-Biloxi,MS
99999,Berlin,NH
42340,Savannah,GA
99999,Pierre,SD
99999,Gainesville,TX
22520,Florence-Muscle Shoals,AL
26140,Homosassa Springs,FL
99999,Stevens Point,WI
99999,Eufaula,AL-GA
99999,Huntsville,TX
15764,Cambridge-Newton-Framingham,MA
29180,Lafayette,LA
99999,Grand Rapids,MN
99999,Maysville,KY
99999,Meridian,MS
99999,Platteville,WI
99999,Urbana,OH
99999,Gloversville,NY
99999,Crawfordsville,IN
30780,Little Rock-North Little Rock-Conway,AR
44100,Springfield,IL
99999,Wilson,NC
23580,Gainesville,GA
99999,Okeechobee,FL
99999,Wapakoneta,OH
99999,Rochelle,IL
37900,Peoria,IL
99999,Las Vegas,NM
20994,Elgin,IL
10500,Albany,GA
99999,Juneau,AK
41540,Salisbury,MD-DE
99999,Vineyard Haven,MA
99999,Troy,AL
99999,Fremont,NE
99999,Lawrenceburg,TN
99999,Gallup,NM
99999,McPherson,KS
99999,Farmington,MO
99999,Steamboat Springs,CO
47380,Waco,TX
41180,St. Louis,MO-IL
99999,Jacksonville,IL
99999,Lebanon,NH-VT
34060,Morgantown,WV
99999,DuBois,PA
99999,Tifton,GA
99999,Winfield,KS
43900,Spartanburg,SC
99999,Hays,KS
34620,Muncie,IN
99999,Lewisburg,TN
99999,Fergus Falls,MN
29700,Laredo,TX
31180,Lubbock,TX
99999,Mountain Home,ID
99999,Austin,MN
11460,Ann Arbor,MI
99999,Ruidoso,NM
99999,Aberdeen,WA
12420,Austin-Round Rock-Georgetown,TX
99999,Stillwater,OK
99999,Minot,ND
99999,Pottsville,PA
99999,Norfolk,NE
41700,San Antonio-New Braunfels,TX
41500,Salinas,CA
14500,Boulder,CO
99999,Kingsville,TX
49180,Winston-Salem,NC
28700,Kingsport-Bristol,TN-VA
99999,Bucyrus-Galion,OH
99999,Watertown-Fort Atkinson,WI
12620,Bangor,ME
99999,Coldwater,MI
22220,Fayetteville-Springdale-Rogers,AR
24660,Greensboro-High Point,NC
40420,Rockford,IL
27900,Joplin,MO
99999,Cullowhee,NC
99999,Duncan,OK
99999,Middlesborough,KY
99999,Corsicana,TX
99999,Dickinson,ND
99999,Waycross,GA
99999,Vidalia,GA
37100,Oxnard-Thousand Oaks-Ventura,CA
99999,Somerset,KY
41100,St. George,UT
99999,Angola,IN
11260,Anchorage,AK
25940,Hilton Head Island-Bluffton,SC
99999,Lexington,NE
49620,York-Hanover,PA
46340,Tyler,TX
99999,Kalispell,MT
99999,Ashland,OH
33540,Missoula,MT
99999,Jamestown,ND
16940,Cheyenne,WY
99999,Altus,OK
99999,Heber,UT
36980,Owensboro,KY
99999,Marinette,WI-MI
99999,Laurinburg,NC
99999,Bainbridge,GA
16860,Chattanooga,TN-GA
99999,Oneonta,NY
99999,Durango,CO
99999,Big Stone Gap,VA
27340,Jacksonville,NC
31700,Manchester-Nashua,NH
35300,New Haven-Milford,CT
99999,Moscow,ID
31020,Longview,WA
34980,Nashville-Davidson--Murfreesboro--Franklin,TN
23224,Frederick-Gaithersburg-Rockville,MD
49420,Yakima,WA
99999,Cedar City,UT
46540,Utica-Rome,NY
15180,Brownsville-Harlingen,TX
25420,Harrisburg-Carlisle,PA
99999,Columbus,MS
25180,Hagerstown-Martinsburg,MD-WV
99999,Calhoun,GA
99999,Spirit Lake,IA
99999,Show Low,AZ
21420,Enid,OK
99999,Murray,KY
99999,Moberly,MO
27780,Johnstown,PA
99999,Clearlake,CA
42140,Santa Fe,NM
99999,Guymon,OK
33660,Mobile,AL
99999,Scottsboro,AL
40220,Roanoke,VA
99999,Stephenville,TX
11180,Ames,IA
99999,Dodge City,KS
99999,Cornelia,GA
47020,Victoria,TX
99999,Pampa,TX
99999,Laconia,NH
99999,Marshall,MO
24340,Grand Rapids-Kentwood,MI
48060,Watertown-Fort Drum,NY
99999,Grants,NM
18140,Columbus,OH
99999,Riverton,WY
44060,Spokane-Spokane Valley,WA
99999,Evanston,WY
99999,Sikeston,MO
12580,Baltimore-Columbia-Towson,MD
16220,Casper,WY
99999,Tullahoma-Manchester,TN
15500,Burlington,NC
99999,Quincy,IL-MO
99999,Gaffney,SC
99999,Menomonie,WI
99999,Vicksburg,MS
99999,Crescent City,CA
99999,Bennettsville,SC
26620,Huntsville,AL
99999,Mason City,IA
99999,Fairfield,IA
13460,Bend,OR
99999,Corinth,MS
42220,Santa Rosa-Petaluma,CA
23104,Fort Worth-Arlington-Grapevine,TX
17300,Clarksville,TN-KY
99999,Fernley,NV
47580,Warner Robins,GA
99999,Bemidji,MN
42644,Seattle-Bellevue-Kent,WA
46060,Tucson,AZ
38060,Phoenix-Mesa-Chandler,AZ
49500,Yauco,PR
23420,Fresno,CA
34900,Napa,CA
41940,San Jose-Sunnyvale-Santa Clara,CA
21140,Elkhart-Goshen,IN
30020,Lawton,OK
99999,Jackson,OH
41900,San Germán,PR
43340,Shreveport-Bossier City,LA
99999,Fairmont,MN
99999,Wilmington,OH
99999,Holland,MI
25220,Hammond,LA
99999,Hudson,NY
99999,Ozark,AL
32780,Medford,OR
39380,Pueblo,CO
26820,Idaho Falls,ID
99999,Harrison,AR
34820,Myrtle Beach-Conway-North Myrtle Beach,SC-NC
25020,Guayama,PR
99999,Sunbury,PA
99999,Roswell,NM
99999,Union City,TN
99999,Arcadia,FL
24140,Goldsboro,NC
99999,Dublin,GA
99999,Somerset,PA
35614,New York-Jersey City-White Plains,NY-NJ
99999,Durant,OK
24500,Great Falls,MT
12220,Auburn-Opelika,AL
13140,Beaumont-Port Arthur,TX
99999,Marietta,OH
99999,Charleston-Mattoon,IL
15260,Brunswick,GA
99999,Batavia,NY
99999,Camden,AR
99999,Brownsville,TN
99999,Forrest City,AR
99999,Coos Bay,OR
12940,Baton Rouge,LA
99999,Nacogdoches,TX
13820,Birmingham-Hoover,AL
99999,Wauchula,FL
99999,Weatherford,OK
99999,Cookeville,TN
39300,Providence-Warwick,RI-MA
99999,Palestine,TX
99999,Zanesville,OH
39540,Racine,WI
99999,Worthington,MN
16700,Charleston-North Charleston,SC
28940,Knoxville,TN
14454,Boston,MA
99999,Peru,IN
39900,Reno,NV
45820,Topeka,KS
40980,Saginaw,MI
99999,Warrensburg,MO
99999,Owatonna,MN
99999,Houghton,MI
99999,Zapata,TX
33874,Montgomery County-Bucks County-Chester County,PA
99999,Fort Madison-Keokuk,IA-IL-MO
99999,Glenwood Springs,CO
44140,Springfield,MA
29620,Lansing-East Lansing,MI
31084,Los Angeles-Long Beach-Glendale,CA
36420,Oklahoma City,OK
27180,Jackson,TN
99999,Dumas,TX
47220,Vineland-Bridgeton,NJ
18580,Corpus Christi,TX
99999,Alexandria,MN
34100,Morristown,TN
99999,Ketchikan,AK
99999,Bluffton,IN
17020,Chico,CA
99999,Jacksonville,TX
99999,Coamo,PR
99999,Bedford,IN
30140,Lebanon,PA
99999,Indiana,PA
99999,Douglas,GA
12540,Bakersfield,CA
99999,Ontario,OR-ID
99999,Granbury,TX
99999,Yankton,SD
99999,Othello,WA
39580,Raleigh-Cary,NC
99999,Auburn,IN
99999,Cullman,AL
99999,Marion,NC
49660,Youngstown-Warren-Boardman,OH-PA
99999,Carlsbad-Artesia,NM
99999,Madisonville,KY
99999,Centralia,WA
99999,Elk City,OK
99999,Beatrice,NE
19804,Detroit-Dearborn-Livonia,MI
12100,Atlantic City-Hammonton,NJ
99999,Prineville,OR
32900,Merced,CA
99999,Port Angeles,WA
99999,Spearfish,SD
99999,New Castle,PA
99999,Key West,FL
99999,Albemarle,NC
99999,Marion,IN
99999,New Philadelphia-Dover,OH
99999,North Vernon,IN
99999,Connersville,IN
19780,Des Moines-West Des Moines,IA
16984,Chicago-Naperville-Evanston,IL
10540,Albany-Lebanon,OR
99999,Fredericksburg,TX
99999,Escanaba,MI
44940,Sumter,SC
40060,Richmond,VA
99999,Selma,AL
99999,Bogalusa,LA
99999,Albertville,AL
17780,College Station-Bryan,TX
99999,Thomaston,GA
99999,Salem,OH
99999,Muscatine,IA
99999,Taos,NM
99999,Barre,VT
99999,Oil City,PA
99999,Shelbyville,TN
17860,Columbia,MO
24580,Green Bay,WI
99999,Greenville,OH
27740,Johnson City,TN
99999,Arkadelphia,AR
99999,Dixon,IL
99999,Butte-Silver Bow,MT
99999,Statesboro,GA
11244,Anaheim-Santa Ana-Irvine,CA
99999,Americus,GA
25860,Hickory-Lenoir-Morganton,NC
45460,Terre Haute,IN
30620,Lima,OH
99999,Big Rapids,MI
99999,Richmond,IN
99999,Kennett,MO
41060,St. Cloud,MN
99999,Newberry,SC
99999,Sweetwater,TX
99999,Shelby,NC
29820,Las Vegas-Henderson-Paradise,NV
43100,Sheboygan,WI
47940,Waterloo-Cedar Falls,IA
33780,Monroe,MI
99999,Snyder,TX
99999,Scottsbluff,NE
16180,Carson City,NV
99999,Brookings,SD
24220,Grand Forks,ND-MN
99999,Shawnee,OK
41660,San Angelo,TX
37860,Pensacola-Ferry Pass-Brent,FL
99999,Thomasville,GA
99999,Paragould,AR
47300,Visalia,CA
99999,Shelton,WA
99999,Shawano,WI
99999,Red Bluff,CA
99999,Sheridan,WY
32580,McAllen-Edinburg-Mission,TX
21780,Evansville,IN-KY
99999,Jesup,GA
31860,Mankato,MN
99999,Athens,TX
14260,Boise City,ID
99999,Russellville,AR
99999,Georgetown,SC
99999,Greenville,MS
99999,Taylorville,IL
99999,Levelland,TX
99999,Nogales,AZ
48424,West Palm Beach-Boca Raton-Boynton Beach,FL
31900,Mansfield,OH
48700,Williamsport,PA
40140,Riverside-San Bernardino-Ontario,CA
99999,La Grande,OR
99999,Roanoke Rapids,NC
99999,Fremont,OH
99999,Lewistown,PA
99999,Woodward,OK
14540,Bowling Green,KY
99999,Coco,PR
28020,Kalamazoo-Portage,MI
99999,Lumberton,NC
99999,Huntingdon,PA
42100,Santa Cruz-Watsonville,CA
12260,Augusta-Richmond County,GA-SC
39460,Punta Gorda,FL
99999,Frankfort,IN
99999,Marquette,MI
45500,Texarkana,TX-AR
99999,Clewiston,FL
99999,Marion,OH
13900,Bismarck,ND
99999,Whitewater,WI
99999,Sandusky,OH
99999,McMinnville,TN
21060,Elizabethtown-Fort Knox,KY
99999,Atchison,KS
99999,Big Spring,TX
99999,Susanville,CA
99999,Faribault-Northfield,MN
99999,Lebanon,MO
32820,Memphis,TN-MS-AR
99999,Sanford,NC
99999,Brookings,OR
99999,Tiffin,OH
99999,Starkville,MS
99999,Ogdensburg-Massena,NY
19124,Dallas-Plano-Irving,TX
48140,Wausau-Weston,WI
99999,Alma,MI
99999,Pahrump,NV
99999,Vernon,TX
99999,Vermillion,SD
48540,Wheeling,WV-OH
22180,Fayetteville,NC
40484,Rockingham County-Strafford County,NH
99999,Los Alamos,NM
11020,Altoona,PA
99999,Mineral Wells,TX
11100,Amarillo,TX
25260,Hanford-Corcoran,CA
99999,Sonora,CA
99999,Dyersburg,TN
99999,Sterling,IL
99999,Auburn,NY
99999,Pearsall,TX
99999,Richmond-Berea,KY
15980,Cape Coral-Fort Myers,FL
99999,Indianola,MS
99999,Alamogordo,NM
99999,Fort Morgan,CO
99999,Cambridge,MD
99999,Selinsgrove,PA
26420,Houston-The Woodlands-Sugar Land,TX
33740,Monroe,LA
99999,Warsaw,IN
19460,Decatur,AL
99999,Spencer,IA
99999,McComb,MS
48300,Wenatchee,WA
30300,Lewiston,ID-WA
99999,Pontiac,IL
99999,Jefferson,GA
36780,Oshkosh-Neenah,WI
99999,Henderson,NC
33260,Midland,TX
43580,Sioux City,IA-NE-SD
36260,Ogden-Clearfield,UT
35380,New Orleans-Metairie,LA
99999,Sevierville,TN
33220,Midland,MI
99999,Sturgis,MI
99999,Wisconsin Rapids-Marshfield,WI
99999,Jackson,WY-ID
99999,Pecos,TX
41980,San Juan-Bayamón-Caguas,PR
99999,El Dorado,AR
